Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.5787,0.0904,0.3089,0.0221,11.084749371679592,1.7632222957884296,1.2464094303486295,0.06520733678135508,0.0815567869066171,0.0017832198321935911,Run9-2-spot41.DTA.csv
0.4636,0.0972,0.3994,0.0398,11.611595453648038,1.767371442161864,1.2674709576421725,0.07393526961490769,0.08449016689247074,0.0012344426705855056,Run9-2-spot42.DTA.csv
0.3342,0.093,0.509,0.0637,12.09743694777287,1.763013326545333,1.2917735437772966,0.07571907512333284,0.08110990191107423,0.0014743020332150386,Run9-2-spot43.DTA.csv
0.238,0.0902,0.5812,0.0905,12.71609286659724,1.7546503350739515,1.3432923588550616,0.05723168926760377,0.07766125160019477,0.0021968180490571443,Run9-2-spot44.DTA.csv
0.1802,0.0875,0.5998,0.1325,12.519360643231654,1.7486900861326462,1.3591202651170107,0.05195980741316562,0.07293255928486095,0.0033095811987872473,Run9-2-spot45.DTA.csv
0.2022,0.253,0.4393,0.1055,13.618641803190195,1.7653442297164565,1.2758440462770617,0.18525328453416226,0.09554528764223529,0.0023655214298909065,run11-2-spot1.DTA.csv
0.0811,0.141,0.5254,0.2524,9.076020527905143,1.6935653907881416,1.3988389865059319,0.0804460882266846,0.07497131335379734,0.013642531509541651,run11-2-spot10.DTA.csv
0.0588,0.1365,0.4358,0.3689,9.366146006569094,1.6748292329706553,1.4279593894502265,0.107826575903993,0.06962849376386943,0.021889510226708736,run11-2-spot11.DTA.csv
0.0417,0.1253,0.3351,0.4979,9.644674606892698,1.617845301232195,1.4321231654512112,0.1178686597802842,0.06200037453546807,0.022571353862126012,run11-2-spot12.DTA.csv
0.3362,0.1524,0.449,0.0624,12.53501277864419,1.7701549819329576,1.2538980688240862,0.08681840334881549,0.08667666480671868,0.0027229186327147447,run11-2-spot13.DTA.csv
0.2435,0.1388,0.5317,0.0859,13.128591853928759,1.7612773710203602,1.3285327070587243,0.08685158094784862,0.08876399347714654,0.0025075119346319855,run11-2-spot14.DTA.csv
0.1622,0.1254,0.596,0.1164,12.646377636446587,1.7440509342966561,1.3579404472413779,0.05347285798826559,0.09457967733224973,0.005940951934216101,run11-2-spot15.DTA.csv
0.11,0.1056,0.6252,0.1591,12.086225085145433,1.7387566062796052,1.3711913738017365,0.05379573325479212,0.09080221208789248,0.008006218431515008,run11-2-spot16.DTA.csv
0.0767,0.0953,0.6023,0.2257,10.910360837862484,1.7121336235043312,1.3889158229116307,0.07594347188129381,0.08809172398079647,0.016086817734653345,run11-2-spot17.DTA.csv
0.0628,0.1019,0.5044,0.3309,9.857433976889943,1.6432865225765632,1.43968898292154,0.11037217295177366,0.06464571794356506,0.020019959654092076,run11-2-spot18.DTA.csv
0.0462,0.0917,0.3914,0.4706,11.240573801143231,1.5883434220372992,1.4348399562184888,0.11488216396502837,0.05962254808785136,0.024940426994588507,run11-2-spot19.DTA.csv
0.1438,0.2394,0.4781,0.1387,11.939060813793079,1.7206688858296069,1.3523224589944265,0.08777915390834526,0.08114346495596128,0.006883538244974875,run11-2-spot2.DTA.csv
0.3742,0.1144,0.455,0.0564,13.20383631234433,1.7637305462395805,1.206814454837863,0.10883158876720146,0.0819332444007194,0.010297208743814278,run11-2-spot20.DTA.csv
0.2761,0.1084,0.5391,0.0763,11.581071662095802,1.7593982650452624,1.229725432847484,0.1225682261726073,0.05758823569866923,0.003023386533565241,run11-2-spot21.DTA.csv
0.1827,0.0979,0.6123,0.1072,12.494076147326572,1.7623028638138885,1.360273324700942,0.07687922219830559,0.08548585841850033,0.004360659155277614,run11-2-spot22.DTA.csv
0.1146,0.0824,0.6623,0.1406,13.07097509450677,1.7455458873995369,1.3618213211003634,0.055498708368148214,0.11373214132622653,0.007321836217439531,run11-2-spot23.DTA.csv
0.0795,0.07,0.6574,0.1931,12.234508868773947,1.7065572087932472,1.3793325220939547,0.06676474463584028,0.10012781643648122,0.017826925552257733,run11-2-spot24.DTA.csv
0.0603,0.0688,0.584,0.2869,9.465669337676967,1.7120683648067694,1.410326317453305,0.08915602874444446,0.0925614063524937,0.020299380933287536,run11-2-spot25.DTA.csv
0.0512,0.0723,0.4638,0.4127,9.13605405274482,1.6633015332204713,1.4332698793028182,0.11315848477718507,0.07838363806777068,0.024952055077062982,run11-2-spot26.DTA.csv
0.4153,0.0994,0.439,0.0463,12.40668513836934,1.7843850234060357,1.2437321964862886,0.07168315544292267,0.09247625500006638,0.002723263033382029,run11-2-spot27.DTA.csv
0.3132,0.0937,0.5264,0.0667,13.04897768000803,1.7752600834221182,1.2739773721620968,0.10258066757826129,0.0808208113213495,0.0014980425665560924,run11-2-spot28.DTA.csv
0.2173,0.0732,0.615,0.0945,14.798466826693668,1.7753365592999457,1.3824570321967107,0.08256025188993407,0.09338481635903466,0.0015412296424019477,run11-2-spot29.DTA.csv
